0,why is afghanistan so poor,2016-05-07 16:39:49,Afganistan
1,why is afghanistan so important,2016-05-07 16:39:49,Afganistan
2,why is afghanistan so hard to conquer,2016-05-07 16:39:49,Afganistan
3,why is afghanistan so dangerous,2016-05-07 16:39:49,Afganistan
4,why is afghanistan so corrupt,2016-05-07 16:39:49,Afganistan
5,why is afghanistan so backward,2016-05-07 16:39:49,Afganistan
6,why is afghanistan so violent,2016-05-07 16:39:49,Afganistan
7,why is afghanistan so important geopolitically,2016-05-07 16:39:49,Afganistan
8,why is afghanistan so underdeveloped,2016-05-07 16:39:49,Afganistan
9,why is afghanistan so strategically important,2016-05-07 16:39:49,Afganistan
0,why is argentina so white,2016-05-07 16:39:49,Argentina
1,why is argentina so poor,2016-05-07 16:39:49,Argentina
2,why is argentina so corrupt,2016-05-07 16:39:49,Argentina
3,why is argentina so racist,2016-05-07 16:39:49,Argentina
4,why is argentina so rich,2016-05-07 16:39:49,Argentina
5,why is argentina so good at soccer,2016-05-07 16:39:49,Argentina
6,why is argentina so expensive,2016-05-07 16:39:49,Argentina
7,why is argentina so good at football,2016-05-07 16:39:49,Argentina
8,why is argentina so european,2016-05-07 16:39:49,Argentina
0,why is australia so dry,2016-05-07 16:39:49,Australia
1,why is australia so hot,2016-05-07 16:39:49,Australia
2,why is australia so deadly,2016-05-07 16:39:49,Australia
3,why is australia so racist,2016-05-07 16:39:49,Australia
4,why is australia so scary,2016-05-07 16:39:49,Australia
5,why is australia so weird,2016-05-07 16:39:49,Australia
6,why is australia so far away,2016-05-07 16:39:49,Australia
7,why is australia so unique,2016-05-07 16:39:49,Australia
8,why is australia so boring,2016-05-07 16:39:49,Australia
9,why is australia so rich,2016-05-07 16:39:49,Australia
0,why is austria so small,2016-05-07 16:39:49,Austria
1,why is austria so wealthy,2016-05-07 16:39:49,Austria
2,why is austria so racist,2016-05-07 16:39:49,Austria
3,why is austria so rich,2016-05-07 16:39:49,Austria
4,why is austria so,2016-05-07 16:39:49,Austria
0,why is bangladesh so poor,2016-05-07 16:39:49,Bangladesh
1,why is bangladesh so populated,2016-05-07 16:39:49,Bangladesh
2,why is bangladesh so overpopulated,2016-05-07 16:39:49,Bangladesh
3,why is bangladesh so corrupt,2016-05-07 16:39:49,Bangladesh
4,why is bangladesh so prone to flooding,2016-05-07 16:39:49,Bangladesh
5,why is bangladesh so dirty,2016-05-07 16:39:49,Bangladesh
